"dates","Los Angeles","New York","Chicago","Dallas/Fort Worth","Houston"
"1987-01-04",17.5,15.5,11.25,5.25,2.5
"1987-01-11",13.4285714285714,20.7142857142857,10.2857142857143,4.57142857142857,3.71428571428571
"1987-01-18",19.4285714285714,17.7142857142857,10.1428571428571,4.57142857142857,5
"1987-01-25",15.5714285714286,19.5714285714286,9.14285714285714,6,3.14285714285714
"1987-02-01",16.8571428571429,15.8571428571429,8.28571428571429,5.42857142857143,4.14285714285714
"1987-02-08",15.5714285714286,17.2857142857143,9.14285714285714,4.14285714285714,3.71428571428571
"1987-02-15",13.7142857142857,16.2857142857143,9.85714285714286,4.85714285714286,2.28571428571429
"1987-02-22",13.8571428571429,18.1428571428571,7.85714285714286,2.28571428571429,2.14285714285714
"1987-03-01",12.8571428571429,16.7142857142857,10,2.85714285714286,1.71428571428571
"1987-03-08",12.8571428571429,15.5714285714286,7.42857142857143,3.42857142857143,3.42857142857143
"1987-03-15",13.8571428571429,15,7.42857142857143,4.42857142857143,3.28571428571429
"1987-03-22",13.7142857142857,16.1428571428571,9.14285714285714,5.85714285714286,2.42857142857143
"1987-03-29",14,14.5714285714286,5.57142857142857,2.85714285714286,4
"1987-04-05",14.2857142857143,13.8571428571429,7.57142857142857,4.14285714285714,2
"1987-04-12",13.5714285714286,15.1428571428571,10.4285714285714,3.85714285714286,2.85714285714286
"1987-04-19",13.1428571428571,11.2857142857143,8.85714285714286,4.57142857142857,1.71428571428571
"1987-04-26",12.8571428571429,13.8571428571429,7.57142857142857,2,2.42857142857143
"1987-05-03",12.4285714285714,16.2857142857143,6.85714285714286,4.57142857142857,1.57142857142857
"1987-05-10",12.2857142857143,13.5714285714286,8.14285714285714,2,3
"1987-05-17",12.4285714285714,13.7142857142857,9.42857142857143,4.14285714285714,1.71428571428571
"1987-05-24",11.8571428571429,14.2857142857143,7.57142857142857,2,2.85714285714286
"1987-05-31",10.2857142857143,15.2857142857143,9.14285714285714,1.57142857142857,1.57142857142857
"1987-06-07",12.1428571428571,14.4285714285714,8.42857142857143,2.85714285714286,2
"1987-06-14",11.2857142857143,11.8571428571429,7.28571428571429,3,1.57142857142857
"1987-06-21",11,14.5714285714286,8.71428571428571,3.57142857142857,2.42857142857143
"1987-06-28",11.4285714285714,11.8571428571429,6.42857142857143,3.42857142857143,1.71428571428571
"1987-07-05",10.1428571428571,13.8571428571429,6.57142857142857,3.28571428571429,2.85714285714286
"1987-07-12",9.85714285714286,13.7142857142857,7.71428571428571,2.14285714285714,1.57142857142857
"1987-07-19",11.4285714285714,14.4285714285714,6.42857142857143,2.85714285714286,1.57142857142857
"1987-07-26",11.7142857142857,12,7.71428571428571,2.57142857142857,1.71428571428571
"1987-08-02",8.28571428571429,12,8.28571428571429,3,2.42857142857143
"1987-08-09",11.2857142857143,14.4285714285714,7.71428571428571,3.57142857142857,2.28571428571429
"1987-08-16",10,11.8571428571429,7.57142857142857,2.42857142857143,1.85714285714286
"1987-08-23",9.28571428571429,12.2857142857143,7.14285714285714,3.28571428571429,2.28571428571429
"1987-08-30",11.4285714285714,12.4285714285714,9.42857142857143,1.71428571428571,3.14285714285714
"1987-09-06",12.8571428571429,13.4285714285714,8.57142857142857,2.28571428571429,2.14285714285714
"1987-09-13",10.4285714285714,13.2857142857143,9.14285714285714,4.42857142857143,2.28571428571429
"1987-09-20",11.7142857142857,14.1428571428571,9,2.14285714285714,1.57142857142857
"1987-09-27",13,14.1428571428571,9.28571428571429,1.85714285714286,3.42857142857143
"1987-10-04",13.1428571428571,14,8,3.71428571428571,2.42857142857143
"1987-10-11",11,13.7142857142857,9.57142857142857,2.14285714285714,2.85714285714286
"1987-10-18",11.2857142857143,15.7142857142857,9.42857142857143,2.71428571428571,1.28571428571429
