"dates","Los Angeles","New York","Chicago","Dallas/Fort Worth","Houston","Phoenix","Santa Ana/Anaheim","San Diego","Miami","Detroit"
"1987-01-31",16.5806451612903,18.1612903225806,9.80645161290323,5.25806451612903,3.87096774193548,4.41935483870968,3.61290322580645,4.61290322580645,3.12903225806452,3.70967741935484
"1987-02-28",14,16.9642857142857,8.92857142857143,3.53571428571429,2.53571428571429,4.60714285714286,3.46428571428571,4.85714285714286,3.42857142857143,3.53571428571429
"1987-03-31",13.6774193548387,15.7096774193548,7.64516129032258,4.12903225806452,3,4.70967741935484,3.51612903225806,4.7741935483871,3.2258064516129,3.41935483870968
"1987-04-30",13,13.5666666666667,8.36666666666667,3.8,2.23333333333333,4.13333333333333,2.76666666666667,4.3,2.83333333333333,3.96666666666667
"1987-05-31",12,14.3870967741935,8.45161290322581,2.51612903225806,2.25806451612903,3.58064516129032,2.41935483870968,3.41935483870968,3,2.58064516129032
"1987-06-30",11.2666666666667,13.3,7.76666666666667,3.2,2,2.8,2.56666666666667,2.46666666666667,2.9,3.93333333333333
"1987-07-31",10.4516129032258,13.0322580645161,7.09677419354839,2.67741935483871,2,2.38709677419355,2,3.96774193548387,2.83870967741935,3.03225806451613
"1987-08-31",10.5161290322581,13.0645161290323,8.16129032258065,2.7741935483871,2.35483870967742,2.61290322580645,2.67741935483871,2.90322580645161,3.09677419354839,2.96774193548387
"1987-09-30",11.9666666666667,13.7666666666667,8.96666666666667,2.8,2.36666666666667,2.5,2.4,3.56666666666667,2.46666666666667,3.1
"1987-10-31",11.3548387096774,15.3225806451613,8.93548387096774,2.70967741935484,1.90322580645161,3.12903225806452,3.45161290322581,2.64516129032258,3.19354838709677,3.16129032258065
"1987-11-30",11.4,15.1333333333333,7.6,3.46666666666667,2.23333333333333,3.3,3.1,3.43333333333333,2.66666666666667,3.13333333333333
"1987-12-31",15.4193548387097,14.8709677419355,9.58064516129032,3.83870967741935,2.29032258064516,5.03225806451613,3.41935483870968,3.70967741935484,3.06451612903226,3.29032258064516
"1988-01-31",19.7096774193548,17.3225806451613,9.80645161290323,4.58064516129032,3.67741935483871,5.93548387096774,5.35483870967742,5.12903225806452,2.87096774193548,3.70967741935484
"1988-02-29",23.6896551724138,19.3103448275862,9.41379310344828,4.6551724137931,4.44827586206897,6.62068965517241,6.20689655172414,7.3448275862069,2.93103448275862,5.10344827586207
"1988-03-31",15.5806451612903,20.1290322580645,10.0967741935484,4.32258064516129,3.2258064516129,4.74193548387097,3.7741935483871,5.16129032258065,3.74193548387097,4.25806451612903
"1988-04-30",11.9666666666667,16.0666666666667,10.8666666666667,3.7,2.66666666666667,4.3,2.76666666666667,4.3,3.3,3.26666666666667
"1988-05-31",12.258064516129,13.9032258064516,8.67741935483871,3.35483870967742,2.25806451612903,3.29032258064516,3.03225806451613,3.67741935483871,2.54838709677419,3.16129032258065
"1988-06-30",11.6,12.7333333333333,8.36666666666667,3.46666666666667,2.6,2.5,2.86666666666667,2.96666666666667,3.06666666666667,3.16666666666667
"1988-07-31",11.5483870967742,12.9677419354839,7.51612903225806,2.67741935483871,2.2258064516129,2.74193548387097,2.25806451612903,3.12903225806452,2.96774193548387,3.19354838709677
"1988-08-31",10.5161290322581,14.6774193548387,7.74193548387097,2.7741935483871,2.35483870967742,2.7741935483871,2,3.19354838709677,2.7741935483871,2.93548387096774
"1988-09-30",10.9666666666667,13.3,7.96666666666667,2.56666666666667,1.9,2.8,2.2,3.43333333333333,2.8,2.9
"1988-10-31",11.3225806451613,15.2258064516129,8.41935483870968,2.87096774193548,2.58064516129032,3.03225806451613,3.06451612903226,3.12903225806452,2.61290322580645,3
"1988-11-30",11.5,16.4,8.9,3.83333333333333,2.46666666666667,3.93333333333333,3.16666666666667,3.73333333333333,2.53333333333333,3.26666666666667
"1988-12-31",15.0322580645161,16.6774193548387,9.03225806451613,4.32258064516129,2.7741935483871,4.7741935483871,3.41935483870968,5,2.87096774193548,4.35483870967742
"1989-01-31",26.3870967741935,18.6774193548387,9.80645161290323,5.25806451612903,3.54838709677419,5.83870967741935,5.45161290322581,7.51612903225806,3.19354838709677,3.41935483870968
"1989-02-28",25.25,19.1785714285714,12.0357142857143,5.39285714285714,4.17857142857143,6.64285714285714,5.82142857142857,7.28571428571429,2.75,5.32142857142857
"1989-03-31",15.3870967741935,18.3225806451613,11.3548387096774,5,2.74193548387097,5.29032258064516,3.67741935483871,4.67741935483871,4.03225806451613,4.58064516129032
"1989-04-30",13.5,15.7666666666667,9.6,3.23333333333333,2.4,3.83333333333333,2.96666666666667,4.26666666666667,3.5,3.83333333333333
"1989-05-31",11.4193548387097,14.1612903225806,10.3870967741935,2.64516129032258,2.70967741935484,3.45161290322581,2.48387096774194,3.70967741935484,2.58064516129032,2.54838709677419
"1989-06-30",11.3,13.9333333333333,8.5,3.5,1.66666666666667,3,2.96666666666667,3.63333333333333,2.36666666666667,2.56666666666667
"1989-07-31",11.6774193548387,14.5806451612903,7.2258064516129,2.41935483870968,2.19354838709677,3.87096774193548,2.2258064516129,2.70967741935484,3.16129032258065,2.70967741935484
"1989-08-31",9.83870967741935,12.8064516129032,8,2.45161290322581,1.87096774193548,2.06451612903226,2.38709677419355,3.25806451612903,3.06451612903226,2.41935483870968
"1989-09-30",12.0666666666667,13.5,9.23333333333333,2.76666666666667,2,3.4,3.4,3.23333333333333,2.53333333333333,3.1
"1989-10-31",10.9677419354839,12.5161290322581,8.54838709677419,3.09677419354839,2.35483870967742,3.61290322580645,3.12903225806452,3.32258064516129,3.32258064516129,3.03225806451613
"1989-11-30",12.3333333333333,16.4666666666667,8.53333333333333,3.76666666666667,2.46666666666667,3.56666666666667,3.4,3.56666666666667,3.7,3
"1989-12-31",15.5161290322581,18.3870967741935,12.6774193548387,6.80645161290323,4.16129032258065,5.19354838709677,4.54838709677419,5.41935483870968,3.93548387096774,3.12903225806452
