"dates","Chicago","Dallas/Fort Worth","Houston","Phoenix","Santa Ana/Anaheim","San Diego","Miami","Detroit","Seattle","San Bernardino"
"1987-01-31",9.80645161290323,5.25806451612903,3.87096774193548,4.41935483870968,3.61290322580645,4.61290322580645,3.12903225806452,3.70967741935484,2.96774193548387,2.38709677419355
"1987-02-28",8.92857142857143,3.53571428571429,2.53571428571429,4.60714285714286,3.46428571428571,4.85714285714286,3.42857142857143,3.53571428571429,2.03571428571429,2.67857142857143
"1987-03-31",7.64516129032258,4.12903225806452,3,4.70967741935484,3.51612903225806,4.7741935483871,3.2258064516129,3.41935483870968,2.67741935483871,2.25806451612903
"1987-04-30",8.36666666666667,3.8,2.23333333333333,4.13333333333333,2.76666666666667,4.3,2.83333333333333,3.96666666666667,2.3,2.06666666666667
"1987-05-31",8.45161290322581,2.51612903225806,2.25806451612903,3.58064516129032,2.41935483870968,3.41935483870968,3,2.58064516129032,1.87096774193548,2.03225806451613
"1987-06-30",7.76666666666667,3.2,2,2.8,2.56666666666667,2.46666666666667,2.9,3.93333333333333,1.96666666666667,1.96666666666667
"1987-07-31",7.09677419354839,2.67741935483871,2,2.38709677419355,2,3.96774193548387,2.83870967741935,3.03225806451613,2.03225806451613,1.54838709677419
"1987-08-31",8.16129032258065,2.7741935483871,2.35483870967742,2.61290322580645,2.67741935483871,2.90322580645161,3.09677419354839,2.96774193548387,1.7741935483871,2.12903225806452
"1987-09-30",8.96666666666667,2.8,2.36666666666667,2.5,2.4,3.56666666666667,2.46666666666667,3.1,1.5,1.46666666666667
"1987-10-31",8.93548387096774,2.70967741935484,1.90322580645161,3.12903225806452,3.45161290322581,2.64516129032258,3.19354838709677,3.16129032258065,2.41935483870968,1.83870967741935
"1987-11-30",7.6,3.46666666666667,2.23333333333333,3.3,3.1,3.43333333333333,2.66666666666667,3.13333333333333,2.5,2.26666666666667
"1987-12-31",9.58064516129032,3.83870967741935,2.29032258064516,5.03225806451613,3.41935483870968,3.70967741935484,3.06451612903226,3.29032258064516,2.2258064516129,2.03225806451613
"1988-01-31",9.80645161290323,4.58064516129032,3.67741935483871,5.93548387096774,5.35483870967742,5.12903225806452,2.87096774193548,3.70967741935484,3.29032258064516,2.80645161290323
"1988-02-29",9.41379310344828,4.6551724137931,4.44827586206897,6.62068965517241,6.20689655172414,7.3448275862069,2.93103448275862,5.10344827586207,3.03448275862069,3.86206896551724
"1988-03-31",10.0967741935484,4.32258064516129,3.2258064516129,4.74193548387097,3.7741935483871,5.16129032258065,3.74193548387097,4.25806451612903,2.74193548387097,2.7741935483871
"1988-04-30",10.8666666666667,3.7,2.66666666666667,4.3,2.76666666666667,4.3,3.3,3.26666666666667,2.36666666666667,2.4
"1988-05-31",8.67741935483871,3.35483870967742,2.25806451612903,3.29032258064516,3.03225806451613,3.67741935483871,2.54838709677419,3.16129032258065,2.32258064516129,2.54838709677419
"1988-06-30",8.36666666666667,3.46666666666667,2.6,2.5,2.86666666666667,2.96666666666667,3.06666666666667,3.16666666666667,1.63333333333333,1.56666666666667
"1988-07-31",7.51612903225806,2.67741935483871,2.2258064516129,2.74193548387097,2.25806451612903,3.12903225806452,2.96774193548387,3.19354838709677,2.25806451612903,1.96774193548387
"1988-08-31",7.74193548387097,2.7741935483871,2.35483870967742,2.7741935483871,2,3.19354838709677,2.7741935483871,2.93548387096774,2.06451612903226,2.32258064516129
"1988-09-30",7.96666666666667,2.56666666666667,1.9,2.8,2.2,3.43333333333333,2.8,2.9,1.76666666666667,1.6
"1988-10-31",8.41935483870968,2.87096774193548,2.58064516129032,3.03225806451613,3.06451612903226,3.12903225806452,2.61290322580645,3,2.29032258064516,2.03225806451613
"1988-11-30",8.9,3.83333333333333,2.46666666666667,3.93333333333333,3.16666666666667,3.73333333333333,2.53333333333333,3.26666666666667,2.06666666666667,2.16666666666667
"1988-12-31",9.03225806451613,4.32258064516129,2.7741935483871,4.7741935483871,3.41935483870968,5,2.87096774193548,4.35483870967742,2.41935483870968,2.09677419354839
