"dates","Los Angeles","New York","Chicago","Dallas/Fort Worth","Houston","Phoenix","Santa Ana/Anaheim","San Diego","Miami","Detroit","Seattle","San Bernardino","San Jose","Minneapolis","Riverside","Philadelphia","Atlanta","Oakland","Denver","Cleveland"
"1987-01-31",16.5806451612903,18.1612903225806,9.80645161290323,5.25806451612903,3.87096774193548,4.41935483870968,3.61290322580645,4.61290322580645,3.12903225806452,3.70967741935484,2.96774193548387,2.38709677419355,2.12903225806452,3.48387096774194,2.32258064516129,3.70967741935484,2.35483870967742,2.25806451612903,2.74193548387097,2.45161290322581
"1987-02-28",14,16.9642857142857,8.92857142857143,3.53571428571429,2.53571428571429,4.60714285714286,3.46428571428571,4.85714285714286,3.42857142857143,3.53571428571429,2.03571428571429,2.67857142857143,2,3.07142857142857,2.71428571428571,3.35714285714286,1.5,2.14285714285714,2,2.46428571428571
"1987-03-31",13.6774193548387,15.7096774193548,7.64516129032258,4.12903225806452,3,4.70967741935484,3.51612903225806,4.7741935483871,3.2258064516129,3.41935483870968,2.67741935483871,2.25806451612903,1.45161290322581,2.7741935483871,2.41935483870968,3.09677419354839,1.64516129032258,2.2258064516129,2.29032258064516,2.90322580645161
"1987-04-30",13,13.5666666666667,8.36666666666667,3.8,2.23333333333333,4.13333333333333,2.76666666666667,4.3,2.83333333333333,3.96666666666667,2.3,2.06666666666667,1.46666666666667,2.5,2.23333333333333,3.03333333333333,1.3,2,2.03333333333333,1.96666666666667
"1987-05-31",12,14.3870967741935,8.45161290322581,2.51612903225806,2.25806451612903,3.58064516129032,2.41935483870968,3.41935483870968,3,2.58064516129032,1.87096774193548,2.03225806451613,1.48387096774194,1.93548387096774,1.54838709677419,3.32258064516129,1.29032258064516,1.48387096774194,2,2.35483870967742
"1987-06-30",11.2666666666667,13.3,7.76666666666667,3.2,2,2.8,2.56666666666667,2.46666666666667,2.9,3.93333333333333,1.96666666666667,1.96666666666667,1.56666666666667,2.53333333333333,1.43333333333333,2.5,1.03333333333333,1.26666666666667,2.33333333333333,1.93333333333333
"1987-07-31",10.4516129032258,13.0322580645161,7.09677419354839,2.67741935483871,2,2.38709677419355,2,3.96774193548387,2.83870967741935,3.03225806451613,2.03225806451613,1.54838709677419,1.2258064516129,2.09677419354839,1.38709677419355,2.38709677419355,0.903225806451613,1.19354838709677,1.45161290322581,1.7741935483871
"1987-08-31",10.5161290322581,13.0645161290323,8.16129032258065,2.7741935483871,2.35483870967742,2.61290322580645,2.67741935483871,2.90322580645161,3.09677419354839,2.96774193548387,1.7741935483871,2.12903225806452,1.19354838709677,1.70967741935484,1.45161290322581,2.83870967741935,1.41935483870968,1.48387096774194,1.48387096774194,2.32258064516129
"1987-09-30",11.9666666666667,13.7666666666667,8.96666666666667,2.8,2.36666666666667,2.5,2.4,3.56666666666667,2.46666666666667,3.1,1.5,1.46666666666667,1.36666666666667,2.5,1.63333333333333,2.26666666666667,1.56666666666667,1.53333333333333,1.96666666666667,2.96666666666667
"1987-10-31",11.3548387096774,15.3225806451613,8.93548387096774,2.70967741935484,1.90322580645161,3.12903225806452,3.45161290322581,2.64516129032258,3.19354838709677,3.16129032258065,2.41935483870968,1.83870967741935,1.74193548387097,2.90322580645161,1.45161290322581,2.19354838709677,1.83870967741935,1.67741935483871,2.45161290322581,2.2258064516129
"1987-11-30",11.4,15.1333333333333,7.6,3.46666666666667,2.23333333333333,3.3,3.1,3.43333333333333,2.66666666666667,3.13333333333333,2.5,2.26666666666667,2.13333333333333,2.33333333333333,1.86666666666667,2.83333333333333,1.33333333333333,1.9,2.23333333333333,2.13333333333333
"1987-12-31",15.4193548387097,14.8709677419355,9.58064516129032,3.83870967741935,2.29032258064516,5.03225806451613,3.41935483870968,3.70967741935484,3.06451612903226,3.29032258064516,2.2258064516129,2.03225806451613,2.2258064516129,2.64516129032258,1.90322580645161,3.09677419354839,1.64516129032258,2.45161290322581,2.51612903225806,2.74193548387097
"1988-01-31",19.7096774193548,17.3225806451613,9.80645161290323,4.58064516129032,3.67741935483871,5.93548387096774,5.35483870967742,5.12903225806452,2.87096774193548,3.70967741935484,3.29032258064516,2.80645161290323,2.35483870967742,3.16129032258065,3,3.35483870967742,2.03225806451613,2.35483870967742,3.51612903225806,2.83870967741935
"1988-02-29",23.6896551724138,19.3103448275862,9.41379310344828,4.6551724137931,4.44827586206897,6.62068965517241,6.20689655172414,7.3448275862069,2.93103448275862,5.10344827586207,3.03448275862069,3.86206896551724,2.6551724137931,2.62068965517241,3.96551724137931,3.03448275862069,2.48275862068966,2.75862068965517,2.72413793103448,3.44827586206897
"1988-03-31",15.5806451612903,20.1290322580645,10.0967741935484,4.32258064516129,3.2258064516129,4.74193548387097,3.7741935483871,5.16129032258065,3.74193548387097,4.25806451612903,2.74193548387097,2.7741935483871,2.2258064516129,3.32258064516129,3.03225806451613,4.16129032258065,1.93548387096774,2.80645161290323,2.58064516129032,3.67741935483871
"1988-04-30",11.9666666666667,16.0666666666667,10.8666666666667,3.7,2.66666666666667,4.3,2.76666666666667,4.3,3.3,3.26666666666667,2.36666666666667,2.4,2.06666666666667,2.5,2.4,3.26666666666667,1.9,1.93333333333333,2.6,2.83333333333333
"1988-05-31",12.258064516129,13.9032258064516,8.67741935483871,3.35483870967742,2.25806451612903,3.29032258064516,3.03225806451613,3.67741935483871,2.54838709677419,3.16129032258065,2.32258064516129,2.54838709677419,1.58064516129032,2.70967741935484,1.80645161290323,2.41935483870968,1.64516129032258,1.90322580645161,2.09677419354839,2.67741935483871
"1988-06-30",11.6,12.7333333333333,8.36666666666667,3.46666666666667,2.6,2.5,2.86666666666667,2.96666666666667,3.06666666666667,3.16666666666667,1.63333333333333,1.56666666666667,1.26666666666667,1.83333333333333,1.5,2.4,1.36666666666667,2.03333333333333,2,2.76666666666667
"1988-07-31",11.5483870967742,12.9677419354839,7.51612903225806,2.67741935483871,2.2258064516129,2.74193548387097,2.25806451612903,3.12903225806452,2.96774193548387,3.19354838709677,2.25806451612903,1.96774193548387,1.29032258064516,1.87096774193548,1.29032258064516,2.90322580645161,1.03225806451613,1.45161290322581,1.80645161290323,2.25806451612903
"1988-08-31",10.5161290322581,14.6774193548387,7.74193548387097,2.7741935483871,2.35483870967742,2.7741935483871,2,3.19354838709677,2.7741935483871,2.93548387096774,2.06451612903226,2.32258064516129,1.38709677419355,1.7741935483871,1.67741935483871,2.45161290322581,0.935483870967742,1.67741935483871,1.12903225806452,2.09677419354839
"1988-09-30",10.9666666666667,13.3,7.96666666666667,2.56666666666667,1.9,2.8,2.2,3.43333333333333,2.8,2.9,1.76666666666667,1.6,1.43333333333333,2.26666666666667,1.7,3,2.13333333333333,1.7,1.83333333333333,2.53333333333333
"1988-10-31",11.3225806451613,15.2258064516129,8.41935483870968,2.87096774193548,2.58064516129032,3.03225806451613,3.06451612903226,3.12903225806452,2.61290322580645,3,2.29032258064516,2.03225806451613,1.38709677419355,2.41935483870968,1.96774193548387,2.51612903225806,1.64516129032258,1.61290322580645,1.90322580645161,2.61290322580645
"1988-11-30",11.5,16.4,8.9,3.83333333333333,2.46666666666667,3.93333333333333,3.16666666666667,3.73333333333333,2.53333333333333,3.26666666666667,2.06666666666667,2.16666666666667,2,2.9,1.6,3.03333333333333,1.03333333333333,1.83333333333333,1.76666666666667,2.63333333333333
"1988-12-31",15.0322580645161,16.6774193548387,9.03225806451613,4.32258064516129,2.7741935483871,4.7741935483871,3.41935483870968,5,2.87096774193548,4.35483870967742,2.41935483870968,2.09677419354839,1.74193548387097,2.64516129032258,2.54838709677419,3.06451612903226,1.74193548387097,2,1.80645161290323,2.38709677419355
"1989-01-31",26.3870967741935,18.6774193548387,9.80645161290323,5.25806451612903,3.54838709677419,5.83870967741935,5.45161290322581,7.51612903225806,3.19354838709677,3.41935483870968,3.29032258064516,3.64516129032258,3.61290322580645,3.29032258064516,4,3.7741935483871,2.48387096774194,3.12903225806452,2.61290322580645,3.51612903225806
"1989-02-28",25.25,19.1785714285714,12.0357142857143,5.39285714285714,4.17857142857143,6.64285714285714,5.82142857142857,7.28571428571429,2.75,5.32142857142857,3.28571428571429,4.46428571428571,3.5,2.92857142857143,4.57142857142857,4.82142857142857,2.25,3.53571428571429,2.57142857142857,3.14285714285714
"1989-03-31",15.3870967741935,18.3225806451613,11.3548387096774,5,2.74193548387097,5.29032258064516,3.67741935483871,4.67741935483871,4.03225806451613,4.58064516129032,3.38709677419355,2.19354838709677,1.96774193548387,2.96774193548387,2.41935483870968,4.96774193548387,2.58064516129032,3.16129032258065,2.16129032258065,3.45161290322581
"1989-04-30",13.5,15.7666666666667,9.6,3.23333333333333,2.4,3.83333333333333,2.96666666666667,4.26666666666667,3.5,3.83333333333333,2.8,1.96666666666667,1.76666666666667,2.53333333333333,2.03333333333333,3.7,1.4,2.23333333333333,2.13333333333333,2.23333333333333
"1989-05-31",11.4193548387097,14.1612903225806,10.3870967741935,2.64516129032258,2.70967741935484,3.45161290322581,2.48387096774194,3.70967741935484,2.58064516129032,2.54838709677419,2.41935483870968,1.64516129032258,1.67741935483871,2.29032258064516,2.12903225806452,2.7741935483871,1.70967741935484,1.45161290322581,1.93548387096774,1.96774193548387
"1989-06-30",11.3,13.9333333333333,8.5,3.5,1.66666666666667,3,2.96666666666667,3.63333333333333,2.36666666666667,2.56666666666667,1.86666666666667,2.5,1.56666666666667,2.1,1.96666666666667,2.73333333333333,1.7,1.46666666666667,1.36666666666667,2.3
"1989-07-31",11.6774193548387,14.5806451612903,7.2258064516129,2.41935483870968,2.19354838709677,3.87096774193548,2.2258064516129,2.70967741935484,3.16129032258065,2.70967741935484,2.2258064516129,1.93548387096774,1.29032258064516,2.03225806451613,1.64516129032258,2.25806451612903,1.35483870967742,1.70967741935484,2,2.06451612903226
"1989-08-31",9.83870967741935,12.8064516129032,8,2.45161290322581,1.87096774193548,2.06451612903226,2.38709677419355,3.25806451612903,3.06451612903226,2.41935483870968,1.70967741935484,2.32258064516129,1.38709677419355,1.58064516129032,2.12903225806452,3.19354838709677,0.967741935483871,1.67741935483871,1.64516129032258,2.2258064516129
"1989-09-30",12.0666666666667,13.5,9.23333333333333,2.76666666666667,2,3.4,3.4,3.23333333333333,2.53333333333333,3.1,2.4,1.7,1.46666666666667,2.26666666666667,1.8,2.63333333333333,1.83333333333333,1.86666666666667,1.6,2.36666666666667
"1989-10-31",10.9677419354839,12.5161290322581,8.54838709677419,3.09677419354839,2.35483870967742,3.61290322580645,3.12903225806452,3.32258064516129,3.32258064516129,3.03225806451613,1.80645161290323,1.87096774193548,1.96774193548387,2.38709677419355,2.12903225806452,2.51612903225806,1.58064516129032,1.90322580645161,1.67741935483871,2.06451612903226
"1989-11-30",12.3333333333333,16.4666666666667,8.53333333333333,3.76666666666667,2.46666666666667,3.56666666666667,3.4,3.56666666666667,3.7,3,2.66666666666667,1.86666666666667,2.06666666666667,2.36666666666667,2,2.5,1.93333333333333,1.63333333333333,2.1,2.3
"1989-12-31",15.5161290322581,18.3870967741935,12.6774193548387,6.80645161290323,4.16129032258065,5.19354838709677,4.54838709677419,5.41935483870968,3.93548387096774,3.12903225806452,2.70967741935484,3.64516129032258,2.2258064516129,2.67741935483871,3.29032258064516,4.06451612903226,2.61290322580645,2.12903225806452,2.12903225806452,2.29032258064516
"1990-01-31",21.0322580645161,24.1935483870968,16.0967741935484,9.70967741935484,4.67741935483871,8.83870967741935,5.80645161290323,7.48387096774194,4.64516129032258,5.7741935483871,2.61290322580645,4.38709677419355,2.64516129032258,4.16129032258065,5.16129032258065,4.19354838709677,2.64516129032258,2.7741935483871,3.7741935483871,3.90322580645161
"1990-02-28",19.0357142857143,21.8571428571429,10.2857142857143,5.14285714285714,3.42857142857143,6.42857142857143,4.35714285714286,6.46428571428571,3.71428571428571,3.82142857142857,3.82142857142857,2.35714285714286,2.67857142857143,3.53571428571429,2.78571428571429,3.78571428571429,2.07142857142857,2.78571428571429,2.35714285714286,2.96428571428571
